id  , designation                 , appmag   , absmag                , b-v; interpret as bprp, ra                   , dec                  , ly                , parallax           , parsec                , from earth X         , from earth Y        , from earth Z          , galactic l            , galactic b
2966, Gaia DR3 861336454055719680 , 5.251284 , 0.6507925890818882    , 1.2885995             , 162.8486052169429    , 59.319891881063775   , 271.3461440511566 , 12.019923892432764 ,    83.1952023115186   , -40.56208903204804   , 12.5183670033823    , 71.5503257056133      , 147.35204381066538    , 51.536858699928075
2967, Gaia DR3 5174275095812173184, 5.2524457, -2.6455018412897404   , 3.5472054             ,  43.05910044746189   , -8.26713294          , 1238.8390329578476, 2.632755275891421  ,   379.8302140564171   , 274.6389853138309    , 256.6351406092185   , -54.61523469160997    , 185.00459131857392    , -56.04355327054935
2968, Gaia DR3 6230182875570700288, 5.252471 , -2.2823270502557964   , 1.5043159             , 222.32799019806495   , -24.2514688          , 1048.0571914330792, 3.1120057442096734 ,   321.33616779488324  , -216.5998328509668   , -197.28419372467667 , -131.9863328092679    , 334.33381200212983    , 31.51893654211665
2969, Gaia DR3 1291693001748846592, 5.2525735, 0.4175814893173122    , 1.1637268             , 225.77500744448014   , 35.20583204476584    , 302.2899956817021 , 10.789506919158107 ,    92.68264133779607  , -52.81978744070247   , -54.26839679253982  , 53.43297829652591     ,  57.45691557981793    , 61.03063213671486
2970, Gaia DR3 5037943144391354496, 5.2528415, 3.012639175303803     , 0.51281595            ,  26.412343030942075  , -25.05283537         , 91.50942726102927 , 35.64179230076972  ,    28.056950435076857 , 22.76412822086383    , 11.30632446510811   , -11.880823252204717   , 206.57550923055697    , -77.91707306521343
2971, Gaia DR3 2021725326270306560, 5.253212 , 0.03695119815577019   , 1.0888257             , 295.92890761551206   , 25.77198770411772    , 360.31100966337266, 9.052068664366303  ,   110.47198569499646  , 43.499715378161845   , -89.46921848583783  , 48.03221136849552     ,  61.45947164811953    , 1.137309023057436
2972, Gaia DR3 5544275773774051328, 5.2536674, -2.026928652372816    , 2.4838371             , 120.52557575458525   , -37.04998938         , 932.2761687406193 , 3.498491229702817  ,   285.8375037529953   , -115.87236026304043  , 196.5115918971314   , -172.22040799182608   , 253.16084739559088    , -3.500866087167972
2973, Gaia DR3 6735126993600519168, 5.2536874, -2.5742197598881438   , -0.14135838           , 278.49070191962375   , -33.01661213         , 1199.5180962522054, 2.719058603776361  ,   367.7743460957963   , 45.53247736340665    , -305.00349863920263 , -200.39368495336208   ,   1.1914531307774685  , -10.76644184754036
2974, Gaia DR3 2068328710703917696, 5.2539515, -2.1471144393333423   , 1.9227366             , 305.6887345057028    , 41.02579470702405    , 985.4589998787228 , 3.3096861466599714 ,   302.14345278907115  , 132.97674066978456   , -185.13351973240182 , 198.32658010371404    ,  78.69465689897434    , 2.310506763852218
2975, Gaia DR3 333614200354086656 , 5.2547116, -1.6851363984007586   , 1.5607266             ,  38.91141478274843   , 37.31220053642723    , 796.8837520686845 , 4.092893087019399  ,   244.32595201948902  , 151.20644996639317   , 122.05796992676818  , 148.10007527393915    , 144.6892522329044     , -21.27859172682597
2976, Gaia DR3 480279121534986112 , 5.2547417, 0.380231925109376     , 1.3681369             ,  85.6101996          , 65.69755339          , 307.8416139195359 , 10.594928861217936 ,    94.38477719849885  , 2.9732072684673776   , 38.730410228514685  , 86.0209365729063      , 147.22686909339794    , 17.659044872085612
2977, Gaia DR3 5424835172813227776, 5.254957 , -0.6797209425734483   , 1.0944166             , 144.5062169773923    , -43.19109883         , 501.6039649938939 , 6.502261201303908  ,   153.79265290042002  , -91.29088502295214   , 65.10221105203897   , -105.26089736464807   , 269.45635735926527    , 6.808890526743467
2978, Gaia DR3 1313234942798111488, 5.255359 , 2.8871478170934877    , 0.4488039             , 253.2414317445224    , 31.7015944           , 97.06610632496071 , 33.60143023642934  ,    29.760637953911846 , -7.300826225452528   , -24.24485109138605  , 15.639076168561859    ,  53.39839874888665    , 38.062707322368475
2979, Gaia DR3 3272902041766301184, 5.255648 , -1.470518915738185    , -0.09069538           ,  60.93585756632733   , 5.435586209357888    , 722.2021141082109 , 4.516131892008426  ,   221.42843121334914  , 107.08367858254228   , 192.67505849176115  , 20.975170226534434    , 185.14871238840152    , -33.55883163765285
2980, Gaia DR3 2775142888669277696, 5.2557216, 0.9278893164943476    , 1.1411576             ,  11.756322220218015  , 11.973699722409856   , 239.32707277539433, 13.628044509034446 ,    73.37809906161296  , 70.27584390588896    , 14.625486717656164  , 15.22321659448741     , 120.756939711933      , -50.99839107923919
2981, Gaia DR3 5183213060194126080, 5.2562175, -2.437222841947797    , 2.1146407             ,  47.82819403711758   , -3.8116727           , 1127.4919262122162, 2.8927568563236967 ,   345.69099639810895  , 231.56833818432438   , 255.6369760290829   , -22.980561959487193   , 184.01743024661397    , -49.56472087524464
2982, Gaia DR3 4745373133284418816, 5.256284 , 4.058891891539258     , 0.7264128             ,  40.64179116281783   , -50.7993179          , 56.61138681229362 , 57.613144345224306 ,    17.357150201833974 , 8.324291053103556    , 7.145319030893747   , -13.450697288207511   , 269.0896790441348     , -58.356781235980506
2983, Gaia DR3 6420970030146218624, 5.2563615, -2.4758822623419405   , 1.9636025             , 292.7959213585438    , -68.43398221         , 1147.8208905643346, 2.8415234700916003 ,   351.9238924209074   , 50.119648981493704   , -119.25369612458978 , -327.2873398151512    , 327.24895746499135    , -28.500979062993498
2984, Gaia DR3 4887842970929434880, 5.2567034, 0.5663450572585997    , 1.1602316             ,  56.98363469226377   , -30.16891125         , 282.81148407916396, 11.53262927288706  ,    86.71049561533867  , 40.84701316782581    , 62.85956989913881   , -43.5764390149128     , 228.27075183202288    , -51.6007026564604
2985, Gaia DR3 1337664063942689792, 5.2570553, 0.27538823534063095   , 0.036564827           , 255.40152067635222   , 33.56826961228025    , 323.4139772128019 , 10.08478368222762  ,    99.15929101804103  , -20.82441703610656   , -79.95486773081144  , 54.828165904535915    ,  56.138078193326905   , 36.630704448942346
2986, Gaia DR3 3355729867596484608, 5.2585754, 0.5363240557235498    , 1.2383428             ,  98.40062227408488   , 14.154780002108398   , 286.99586605393085, 11.36448425144599  ,    87.99343444668528  , -12.464988822233591  , 84.40639570739033   , 21.518106865431548    , 198.15963684093842    , 2.272630652564691
2987, Gaia DR3 6728304352148933632, 5.259289 , 0.45894441409094355   , 1.1456652             , 275.87015089439257   , -36.23796714         , 297.50501395442257, 10.96304212371919  ,    91.21555757196636  , 7.524487211301122    , -73.18582760460643  , -53.921189463887956   , 357.28844316559633    , -10.219919919039913
2988, Gaia DR3 4694680802520536192, 5.260874 , -0.642268920069978    , 1.4503903             ,  33.869768059760084  , -67.74641317         , 494.3721034226356 , 6.5973787303522515 ,   151.575351495185    , 47.661732724147704   , 31.990863867521195  , -140.28553397849157   , 291.4779817020378     , -47.373502207555134
