# |dist(asec)|typed ident|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |      coord2 (FK5,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |    spec. type    |#bib|#not
119|      0.00|HIP7751    |* p Eri                            |** |01 39 47.53953 -56 11 47.0997          |024.94807866 -56.19641662          |     ~   |     ~   |     ~   |     ~   |     ~   |K2V+K2V           |  66|   0
120|      0.24|HIP7751    |* p Eri B                          |PM*|01 39 47.5647128524 -56 11 47.213189871|024.9481835863863 -56.1964481479962|     ~   |6.692    |5.797    |     ~   |     ~   |K2V               | 137|   0
121|      0.00|HIP65245   |HD 116287                          |*  |13 22 15.0795859824 +30 17 30.975220428|200.5628344273321 +30.2919371360489|     ~   |8.14     |6.79     |     ~   |     ~   |K4III             |  16|   0
122|      0.00|HIP64394   |* bet Com                          |PM*|13 11 52.3938268062 +27 52 41.462309460|197.9683107788064 +27.8781832756283|4.92     |4.84     |4.25     |3.77     |3.47     |F9.5V             | 924|   0
123|      0.00|HIP64022   |* 41 Com b                         |Pl |13 07 10.7299222671 +27 37 29.055438610|196.7947112188209 +27.6247367990930|     ~   |     ~   |     ~   |     ~   |     ~   |~                 |   4|   0
124|      0.00|HIP64022   |* 41 Com                           |PM*|13 07 10.7299222671 +27 37 29.055438610|196.7947112188209 +27.6247367990930|8.14     |6.22     |4.69     |3.64     |2.83     |K5-III            | 169|   0
125|      0.00|HIP62763   |* 31 Com                           |Ro*|12 51 41.9201696640 +27 32 26.565016812|192.9246706303352 +27.5407112773307|5.81     |5.61     |4.94     |4.39     |4.04     |G0IIIp            | 436|   1
126|      0.00|HIP62576   |* 30 Com                           |** |12 49 17.4507551424 +27 33 08.563249188|192.3227147418521 +27.5523773905154|5.87     |5.81     |5.78     |     ~   |5.70     |A1Van             |  84|   0
127|      0.00|HIP60746   |* 16 Com                           |*  |12 26 59.2962947904 +26 49 32.526134544|186.7470713298536 +26.8256998432086|     ~   |5.045    |4.959    |     ~   |4.93     |A4V               | 163|   0
128|      0.00|HIP60351   |* 12 Com                           |SB*|12 22 30.3113907816 +25 50 46.167660348|185.6263010378245 +25.8461557097718|5.56     |5.30     |4.81     |4.34     |4.01     |F6III+A3V         | 192|   0
129|      0.00|HIP64417   |HD 114724                          |** |13 12 08.4047184960 +24 15 28.946670408|198.0350233002199 +24.2580400495891|     ~   |7.29     |6.29     |     ~   |     ~   |K0III             |  38|   0
130|      0.00|HIP63950   |* 40 Com                           |LP*|13 06 22.6020265896 +22 36 58.273099308|196.5941789642442 +22.6161861282139|8.82     |7.22     |5.61     |3.63     |1.84     |M5III:            | 112|   0
